"Aclamen alegres al Señor, *","congregation","hangingIndent"
"habitantes de toda la tierra;","congregation","hangingIndent"
"adoren al Señor con regocijo.","congregation","indent"
"Preséntense ante él con cánticos de júbilo. *","congregation","hangingIndent"
"Reconozcan que el Señor es Dios;","congregation","hangingIndent"
"Él nos hizo, y somos suyos.","congregation","indent"
"Somos su pueblo, ovejas de su prado.","congregation","hangingIndent"
"Entren por sus puertas con acción de gracias; *","congregation","hangingIndent"
"vengan a sus atrios con himnos de alabanza;","congregation","indent"
"denle gracias, alaben su nombre.","congregation","hangingIndent"
"Porque el Señor es bueno y su gran amor es eterno; *","congregation","hangingIndent"
"su fidelidad permanece para siempre.","congregation","indent"
