"宇宙的主宰，主上帝，*"                    ,"congregation","indent"
"祢行了大事，*"                            ,"congregation","hangingIndent"
"超越人所能理解的。"                       ,"congregation","indent"
"祢的道路是公义真实的，*"                  ,"congregation","hangingIndent"
"万世之王啊。"                             ,"congregation","indent"
"主啊，谁能不敬畏祢，*"                    ,"congregation","indent"
"谁能不称颂祢的圣名？*"                   ,"congregation","hangingIndent"
"因为唯独祢是圣者。"                       ,"congregation","indent"
"万国万民都要来到祢面前敬拜，*"            ,"congregation","hangingIndent"
"因为祢公义的作为已经彰显。"               ,"congregation","indent"
