"尊贵、荣耀和王权，*"                                      ,"congregation","hangingIndent"
"都归于祢，我们的主上帝，"                                 ,"congregation","indent"       ,
"因为祢创造了万物，*"                                      ,"congregation","hangingIndent"
"万物因祢的旨意被造而有的；"                               ,"congregation","indent"       ,
"被杀的羔羊啊，这一切都归于祢，*"                          ,"congregation","hangingIndent"
"因为祢用宝血为上帝赎了人，"                               ,"congregation","indent"       ,
"从各族、各方、各民、各国中，*"                            ,"congregation","hangingIndent"
"使他们成为祭司的国度，事奉我们的上帝。"                   ,"congregation","indent"       ,
"但愿颂赞、尊贵归于那坐宝座的，*"                         ,"congregation","hangingIndent"
"归于基督羔羊，"                                           ,"congregation","indent"       ,
"愿敬拜、赞美、权柄和尊贵，*"                              ,"congregation","hangingIndent"
"归于祂，直到永永远远。阿们。"                             ,"congregation","indent"       ,
