"愿上帝怜悯我们，赐福与我们，*"                            ,"congregation","hangingIndent"
"用脸光照我们，怜悯我们。"                                 ,"congregation","indent"
"好叫世界得知祢的道路，*"                                  ,"congregation","hangingIndent"
"万国得知祢的救恩。"                                       ,"congregation","indent"
"上帝啊，愿列邦称赞祢，*"                                  ,"congregation","hangingIndent"
"愿万民都称赞祢。"                                         ,"congregation","indent"
"愿列邦欢乐歌唱，*"                                        ,"congregation","hangingIndent"
"因为祢必按公正审判万民，引导世上的万国。"                 ,"congregation","indent"
"上帝啊，愿列邦称赞祢，*"                                  ,"congregation","hangingIndent"
"愿万民都称赞祢。"                                         ,"congregation","indent"
"地已经出了土产，*"                                        ,"congregation","hangingIndent"
"上帝，就是我们的上帝，要赐福与我们。"                     ,"congregation","indent"
"上帝要赐福与我们，*"                                      ,"congregation","hangingIndent"
"地的四极都要敬畏祂。"                                     ,"congregation","indent"
