"你们要向耶和华唱新歌，*"                                  ,"congregation","hangingIndent"
"因为祂行了奇妙的事。"                                     ,"congregation","indent"
"祂的右手和圣臂，*"                                        ,"congregation","hangingIndent"
"施行了救恩。"                                             ,"congregation","indent"
"耶和华已经宣告了祂的救恩，*"                              ,"congregation","hangingIndent"
"在列邦人眼前显明了祂的公义。"                             ,"congregation","indent"
"祂记念祂向以色列家所发的慈爱和信实，*"                    ,"congregation","hangingIndent"
"地的四极都看见了我们上帝的救恩。"                         ,"congregation","indent"
"全地都当向耶和华欢乐，*"                                  ,"congregation","hangingIndent"
"要歌唱、欢呼、颂赞。"                                     ,"congregation","indent"
"要用琴颂赞耶和华，*"                                      ,"congregation","hangingIndent"
"用琴和诗歌的声音颂赞祂。"                                 ,"congregation","indent"
"用号和角声，*"                                            ,"congregation","hangingIndent"
"在耶和华君王面前欢呼。"                                   ,"congregation","indent"
"愿海和其中所充满的澎湃，*"                                ,"congregation","hangingIndent"
"世界和住在其间的也要发声。"                               ,"congregation","indent"
"愿大河拍手，愿诸山在耶和华面前一同欢呼，*"                ,"congregation","hangingIndent"
"因为祂来要审判全地。"                                     ,"congregation","indent"
"祂要按公义审判世界，*"                                    ,"congregation","hangingIndent"
"按公正审判万民。"                                         ,"congregation","indent"
